Operateurs;Mesure
Alexandre;11,91
Alexandre;11,95
Alexandre;11,94
Alexandre;11,91
Alexandre;11,95
Alexandre;11,95
Alexandre;11,94
Alexandre;11,93
Alexandre;11,92
Alexandre;11,95
Alexandre;11,94
Alexandre;11,94
Alexandre;11,91
Alexandre;11,92
Alexandre;11,95
Alexandre;11,93
Alexandre;11,94
Alexandre;11,96
Alexandre;11,93
Alexandre;11,96
Corentin;11,91
Corentin;11,94
Corentin;11,93
Corentin;11,9
Corentin;11,94
Corentin;11,94
Corentin;11,95
Corentin;11,92
Corentin;11,94
Corentin;11,93
Corentin;11,95
Corentin;11,93
Corentin;11,95
Corentin;11,95
Corentin;11,94
Corentin;12
Corentin;11,99
Corentin;11,99
Corentin;11,95
Corentin;11,98
Emma;11,87
Emma;11,93
Emma;11,95
Emma;11,93
Emma;11,9
Emma;11,92
Emma;11,91
Emma;11,93
Emma;11,94
Emma;11,95
Emma;11,91
Emma;11,93
Emma;11,91
Emma;11,96
Emma;11,92
Emma;11,95
Emma;11,93
Emma;11,96
Emma;11,93
Emma;11,96
Guillaume;11,93
Guillaume;11,9
Guillaume;11,9
Guillaume;11,95
Guillaume;11,95
Guillaume;11,92
Guillaume;11,94
Guillaume;11,93
Guillaume;11,93
Guillaume;11,91
Guillaume;11,95
Guillaume;11,94
Guillaume;11,93
Guillaume;11,94
Guillaume;11,94
Guillaume;11,97
Guillaume;11,94
Guillaume;11,96
Guillaume;11,96
Guillaume;11,96
Gauthier;11,95
Gauthier;11,94
Gauthier;11,91
Gauthier;11,9
Gauthier;11,94
Gauthier;11,94
Gauthier;11,94
Gauthier;11,95
Gauthier;11,92
Gauthier;11,93
Gauthier;11,94
Gauthier;11,95
Gauthier;11,94
Gauthier;11,95
Gauthier;11,94
Gauthier;11,95
Gauthier;11,96
Gauthier;11,97
Gauthier;11,95
Gauthier;11,96
