          X  Y
1        0 ai75
2        0 ai35
3        0 ai75
4        1 ai45
5        0 ai75
6        0 ai45
7        0 ai75
8        0 ai75
9        0 ai35
10       0 ai55
11       0 ai75
12       1 ai45
13       0 ai35
14       1 ai45
15       0 ai75
16       0 ai45
17       0 ai25
18       0 ai75
19       0 ai25
20       0 ai25
21       0 ai25
22       1 ai25
23       1 ai35
24       0 ai45
25       0 ai25
26       0 ai35
27       0 ai45
28       0 ai35
29       0 ai25
30       0 ai75
31       0 ai25
32       0 ai55
33       0 ai25
34       0 ai45
35       0 ai25
36       0 ai25
37       0 ai25
38       0 ai25
39       0 ai25
40       0 ai45
41       0 ai35
42       0 ai25
43       0 ai25
44       0 ai35
45       0 ai25
46       0 ai25
47       0 ai45
48       0 ai55
49       0 ai25
50       0 ai75
51       0 ai25
52       0 ai35
53       0 ai35
54       0 ai35
55       0 ai25
56       0 ai55
57       0 ai25
58       0 ai35
59       0 ai45
60       0 ai25
61       1 ai45
62       0 ai25
63       0 ai35
64       0 ai25
65       1 ai35
66       0 ai25
67       0 ai25
68       0 ai25
69       0 ai75
70       0 ai45
71       0 ai25
72       0 ai75
73       0 ai45
74       0 ai75
75       0 ai25
76       0 ai25
77       0 ai25
78       0 ai35
79       0 ai35
80       0 ai35
81       0 ai25
82       0 ai25
83       0 ai25
84       1 ai35
85       0 ai25
86       0 ai25
87       0 ai35
88       0 ai75
89       0 ai35
90       0 ai35
91       0 ai25
92       0 ai75
93       0 ai75
94       1 ai25
95       0 ai25
96       0 ai55
97       0 ai45
98       0 ai35
99       0 ai25
100      0 ai45
101      0 ai25
102      0 ai25
103      0 ai55
104      0 ai25
105      0 ai35
106      0 ai75
107      0 ai45
108      0 ai45
109      0 ai75
110      0 ai45
111      0 ai75
112      0 ai45
113      0 ai75
114      0 ai55
115      0 ai75
116      0 ai75
117      0 ai35
118      0 ai55
119      0 ai45
120      0 ai75
121      0 ai55
122      0 ai75
123      0 ai55
124      0 ai75
125      0 ai45
126      0 ai55
127      0 ai75
128      0 ai55
129      0 ai75
130      0 ai55
131      0 ai75
132      0 ai45
133      0 ai45
134      0 ai35
135      0 ai45
136      1 ai35
137      0 ai75
138      0 ai75
139      0 ai35
140      0 ai55
141      0 ai55
142      0 ai55
143      0 ai35
144      0 ai45
145      0 ai75
146      0 ai55
147      0 ai75
148      0 ai45
149      0 ai55
150      0 ai35
151      0 ai55
152      0 ai75
153      0 ai75
154      0 ai45
155      0 ai45
156      0 ai75
157      0 ai45
158      0 ai45
159      0 ai35
160      0 ai55
161      0 ai45
162      0 ai75
163      0 ai35
164      0 ai55
165      0 ai55
166      0 ai45
167      0 ai55
168      0 ai55
169      1 ai35
170      0 ai75
171      0 ai45
172      0 ai45
173      1 ai45
174      0 ai55
175      0 ai55
176      0 ai45
177      0 ai75
178      0 ai75
179      0 ai75
180      0 ai35
181      0 ai35
182      0 ai35
183      0 ai45
184      0 ai55
185      0 ai45
186      0 ai55
187      0 ai75
188      0 ai45
189      0 ai35
190      0 ai45
191      0 ai55
192      0 ai55
193      0 ai75
194      0 ai75
195      0 ai75
196      1 ai35
197      0 ai55
198      0 ai45
199      0 ai55
200      0 ai45
201      1 ai45
202      0 ai45
203      0 ai75
204      0 ai75
205      0 ai35
206      0 ai35
207      0 ai45
208      0 ai55
209      0 ai75
210      0 ai75
211      0 ai55
212      0 ai75
213      0 ai45
214      0 ai75
215      0 ai55
