jour;X;;;;;;;;
1;144;;;;;;;;
1;150;;;;;;;;
1;180;;;;;;;;
2;193;;;;;;;;
2;210;;;;;;;;
2;225;;;;;;;;
3;235;;;;;;;;
3;233;;;;;;;;
3;228;;;;;;;;
4;198;;;;;;;;
4;190;;;;;;;;
4;178;;;;;;;;
5;168;;;;;;;;
5;137;;;;;;;;
5;121;;;;;;;;
6;116;;;;;;;;
6;85;;;;;;;;
6;65;;;;;;;;
7;88;;;;;;;;
7;111;;;;;;;;
7;120;;;;;;;;
8;138;;;;;;;;
8;160;;;;;;;;
8;179;;;;;;;;
9;200;;;;;;;;
9;245;;;;;;;;
9;248;;;;;;;;
10;211;;;;;;;;
10;201;;;;;;;;
10;155;;;;;;;;
11;145;;;;;;;;
11;102;;;;;;;;
11;83;;;;;;;;
12;80;;;;;;;;
12;101;;;;;;;;
12;106;;;;;;;;
13;95;;;;;;;;
13;90;;;;;;;;
13;107;;;;;;;;
14;127;;;;;;;;
14;142;;;;;;;;
14;159;;;;;;;;
15;167;;;;;;;;
15;178;;;;;;;;
15;199;;;;;;;;
16;181;;;;;;;;
16;173;;;;;;;;
16;163;;;;;;;;
17;158;;;;;;;;
17;147;;;;;;;;
17;134;;;;;;;;
18;128;;;;;;;;
18;113;;;;;;;;
18;104;;;;;;;;
19;113;;;;;;;;
19;122;;;;;;;;
19;108;;;;;;;;
20;135;;;;;;;;
20;145;;;;;;;;
20;158;;;;;;;;
21;133;;;;;;;;
21;125;;;;;;;;
21;112;;;;;;;;
22;105;;;;;;;;
22;95;;;;;;;;
22;63;;;;;;;;
23;72;;;;;;;;
23;97;;;;;;;;
23;112;;;;;;;;
24;126;;;;;;;;
24;132;;;;;;;;
24;144;;;;;;;;
25;156;;;;;;;;
25;163;;;;;;;;
25;170;;;;;;;;
26;181;;;;;;;;
26;180;;;;;;;;
26;202;;;;;;;;
27;250;;;;;;;;
27;205;;;;;;;;
27;175;;;;;;;;
28;157;;;;;;;;
28;148;;;;;;;;
28;140;;;;;;;;
29;157;;;;;;;;
29;139;;;;;;;;
29;121;;;;;;;;
30;131;;;;;;;;
30;125;;;;;;;;
30;11;;;;;;;;
31;118;;;;;;;;
31;115;;;;;;;;
31;92;;;;;;;;
32;99;;;;;;;;
32;79;;;;;;;;
32;111;;;;;;;;
33;127;;;;;;;;
33;135;;;;;;;;
33;130;;;;;;;;
