"repetition";"part";"operateur";"mesure"
1;1;1;1.5572
2;1;1;1.5653
3;1;1;1.5551
4;1;1;1.5794
1;2;1;1.6955
2;2;1;1.684
3;2;1;1.6971
4;2;1;1.6996
1;3;1;1.5932
2;3;1;1.5844
3;3;1;1.6025
4;3;1;1.5913
1;4;1;1.5993
2;4;1;1.5833
3;4;1;1.6167
4;4;1;1.605
1;5;1;1.3614
2;5;1;1.371
3;5;1;1.3698
4;5;1;1.3675
1;6;1;1.5923
2;6;1;1.5909
3;6;1;1.5838
4;6;1;1.5632
1;7;1;1.9909
2;7;1;1.9841
3;7;1;1.9831
4;7;1;1.97
1;8;1;1.3332
2;8;1;1.3421
3;8;1;1.3515
4;8;1;1.3369
1;9;1;1.5407
2;9;1;1.5362
3;9;1;1.523
4;9;1;1.5326
1;10;1;1.4649
2;10;1;1.4682
3;10;1;1.4798
4;10;1;1.4764
1;11;1;1.6295
2;11;1;1.6286
3;11;1;1.6381
4;11;1;1.6367
1;1;2;1.7719
2;1;2;1.7717
3;1;2;1.7824
4;1;2;1.7864
1;2;2;1.9064
2;2;2;1.9163
3;2;2;1.9115
4;2;2;1.9014
1;3;2;1.8062
2;3;2;1.7914
3;3;2;1.8171
4;3;2;1.8225
1;4;2;1.8171
2;4;2;1.8103
3;4;2;1.8265
4;4;2;1.8194
1;5;2;1.6009
2;5;2;1.5765
3;5;2;1.5838
4;5;2;1.5771
1;6;2;1.791
2;6;2;1.8003
3;6;2;1.7803
4;6;2;1.813
1;7;2;2.2015
2;7;2;2.2217
3;7;2;2.2048
4;7;2;2.1929
1;8;2;1.5594
2;8;2;1.5439
3;8;2;1.5407
4;8;2;1.5562
1;9;2;1.7477
2;9;2;1.7521
3;9;2;1.7528
4;9;2;1.7462
1;10;2;1.6784
2;10;2;1.6828
3;10;2;1.6959
4;10;2;1.6689
1;11;2;1.8524
2;11;2;1.8498
3;11;2;1.8571
4;11;2;1.8434
1;1;3;1.5639
2;1;3;1.5629
3;1;3;1.5548
4;1;3;1.5723
1;2;3;1.7006
2;2;3;1.696
3;2;3;1.7049
4;2;3;1.6946
1;3;3;1.5715
2;3;3;1.5785
3;3;3;1.572
4;3;3;1.5795
1;4;3;1.5961
2;4;3;1.6027
3;4;3;1.5932
4;4;3;1.6038
1;5;3;1.3518
2;5;3;1.376
3;5;3;1.3655
4;5;3;1.3674
1;6;3;1.5837
2;6;3;1.5967
3;6;3;1.5735
4;6;3;1.5753
1;7;3;1.9958
2;7;3;1.975
3;7;3;1.9794
4;7;3;1.9775
1;8;3;1.3316
2;8;3;1.332
3;8;3;1.3397
4;8;3;1.333
1;9;3;1.5285
2;9;3;1.547
3;9;3;1.5314
4;9;3;1.5318
1;10;3;1.4646
2;10;3;1.4727
3;10;3;1.4649
4;10;3;1.4652
1;11;3;1.6211
2;11;3;1.6247
3;11;3;1.6285
4;11;3;1.622
1;1;4;1.5805
2;1;4;1.56
3;1;4;1.5783
4;1;4;1.5599
1;2;4;1.701
2;2;4;1.6987
3;2;4;1.6975
4;2;4;1.7034
1;3;4;1.5801
2;3;4;1.611
3;3;4;1.5825
4;3;4;1.5946
1;4;4;1.6061
2;4;4;1.6097
3;4;4;1.6381
4;4;4;1.6174
1;5;4;1.3605
2;5;4;1.3569
3;5;4;1.3778
4;5;4;1.3731
1;6;4;1.5917
2;6;4;1.5856
3;6;4;1.58
4;6;4;1.5841
1;7;4;2.0065
2;7;4;1.9902
3;7;4;1.9826
4;7;4;2.0152
1;8;4;1.354
2;8;4;1.3473
3;8;4;1.3603
4;8;4;1.3586
1;9;4;1.5424
2;9;4;1.5706
3;9;4;1.546
4;9;4;1.5343
1;10;4;1.4791
2;10;4;1.4827
3;10;4;1.5037
4;10;4;1.4816
1;11;4;1.6475
2;11;4;1.6421
3;11;4;1.6396
4;11;4;1.6426
