"part";"rep";"op";"mes"
1;1;1;37
2;1;1;42
3;1;1;30
4;1;1;42
5;1;1;28
6;1;1;42
7;1;1;25
8;1;1;40
9;1;1;25
10;1;1;35
1;2;1;38
2;2;1;41
3;2;1;31
4;2;1;43
5;2;1;30
6;2;1;42
7;2;1;26
8;2;1;40
9;2;1;25
10;2;1;34
1;3;1;37
2;3;1;43
3;3;1;31
4;3;1;42
5;3;1;29
6;3;1;43
7;3;1;27
8;3;1;40
9;3;1;25
10;3;1;34
1;1;2;41
2;1;2;42
3;1;2;31
4;1;2;43
5;1;2;29
6;1;2;45
7;1;2;28
8;1;2;43
9;1;2;27
10;1;2;35
1;2;2;41
2;2;2;42
3;2;2;31
4;2;2;43
5;2;2;30
6;2;2;45
7;2;2;28
8;2;2;42
9;2;2;29
10;2;2;35
1;3;2;40
2;3;2;42
3;3;2;31
4;3;2;43
5;3;2;29
6;3;2;45
7;3;2;30
8;3;2;42
9;3;2;28
10;3;2;34
1;1;3;41
2;1;3;43
3;1;3;29
4;1;3;42
5;1;3;31
6;1;3;44
7;1;3;29
8;1;3;43
9;1;3;26
10;1;3;35
1;2;3;42
2;2;3;42
3;2;3;30
4;2;3;42
5;2;3;29
6;2;3;46
7;2;3;27
8;2;3;43
9;2;3;26
10;2;3;34
1;3;3;41
2;3;3;43
3;3;3;28
4;3;3;42
5;3;3;29
6;3;3;45
7;3;3;27
8;3;3;41
9;3;3;26
10;3;3;35
