"part";"X1";"X2";"X3";"X4";"X5";"X6";"X7"
1;0.5393;0.5396;0.5388;0.5386;0.5399;0.5456;0.5259
2;0.4967;0.5102;0.4985;0.4935;0.5115;0.4922;0.5099
3;0.48;0.4798;0.4591;0.4825;0.4661;0.4735;0.4516
4;0.3919;0.4141;0.4087;0.4006;0.4053;0.3919;0.4025
5;0.3572;0.3672;0.3448;0.3492;0.3503;0.3544;0.3401
6;0.3958;0.3981;0.4102;0.3886;0.3996;0.3771;0.385
7;0.6106;0.5872;0.6072;0.5968;0.5993;0.597;0.6209
8;0.4349;0.4322;0.447;0.4351;0.4375;0.4326;0.4381
9;0.3653;0.3494;0.3654;0.3665;0.3548;0.3551;0.3487
10;0.6896;0.6822;0.7037;0.6851;0.6837;0.6863;0.6705
